duration,eta,eta_value,riae,coverage,ci_width_rel_psd_diag_mean,ci_width_rel_psd_diag_median,nuts_divergences,max_treedepth_hits,nuts_rhat_max,failed
1m,eta0.01,0.01,0.00507195758466194,0.8641126391617551,0.3682459021509822,0.34590303808654455,0.0,0.0,1.0,False
1m,eta0.03,0.03,0.004807381494997113,0.7619515389652914,0.2169671597401402,0.1995389646073693,0.0,0.0,1.0,False
1m,eta0.1,0.1,0.004635117150671796,0.6142763588736084,0.12213646566608616,0.11002900310047764,0.0,0.0,1.0,False
1m,eta0.25,0.25,0.004740686711785763,0.5006548788474132,0.07652979241508591,0.06935797288972015,0.0,0.0,1.0,False
1m,eta0.5,0.5,0.0048554888871673255,0.42839991268282035,0.05510368970150447,0.05207453241293175,0.0,0.0,1.0,False
1m,eta0.75,0.75,0.004806337385121167,0.38179436804191225,0.04488674871832925,0.04096752951565789,0.0,0.0,1.0,False
1m,eta1,1.0,0.0047256372391702075,0.33507967692643525,0.038795024440600456,0.03559913780458905,0.0,0.0,1.0,False
1y,eta0.01,0.01,0.005058351863548551,0.6066361056537873,0.11122859289436744,0.10159531643449503,0.0,0.0,1.0,False
1y,eta0.03,0.03,0.00512352748973112,0.45655970312158917,0.06373098696222182,0.05814140438367081,0.0,0.0,1.0,False
1y,eta0.1,0.1,0.004973714950636433,0.3410827330277232,0.03497895532328825,0.03207079625076595,0.0,0.0,1.0,False
1y,eta0.25,0.25,0.004961287801094037,0.24547042130539184,0.02218178320444338,0.01989125229780464,0.0,0.0,1.0,False
1y,eta0.5,0.5,0.0050263047657913675,0.1642654442261515,0.01466977151288892,0.013225138623770175,0.0,6000.0,5552683543147726.0,True
1y,eta0.75,0.75,0.004920783734766673,0.11132940406024885,0.009977668260744869,0.008937252635737698,0.0,18000.0,5552683543147726.0,True
1y,eta1,1.0,0.0049960558271215484,0.10554464090809867,0.008447882780539259,0.007123724514180934,0.0,18000.0,5552683543147726.0,True
6m,eta0.01,0.01,0.00541860372894453,0.6711416721239903,0.15428418078720285,0.1414220341962602,0.0,0.0,1.0,False
6m,eta0.03,0.03,0.005308624105378202,0.5512988430473695,0.08952057978819196,0.08292879879491077,0.0,0.0,1.0,False
6m,eta0.1,0.1,0.005429490735574987,0.4274175944117005,0.05035803725111314,0.04492860178583518,0.0,0.0,1.0,False
6m,eta0.25,0.25,0.005382622517762702,0.3426107836716874,0.03184025889581843,0.028768390389523123,0.0,0.0,1.0,False
6m,eta0.5,0.5,0.0053804259630171975,0.2604234883213272,0.022856183001509864,0.020943357774968967,0.0,0.0,1.0,False
6m,eta0.75,0.75,0.005423048426233705,0.2359746780179,0.018574224588060666,0.017092108847315268,0.0,0.0,1.0,False
6m,eta1,1.0,0.005417930413675318,0.20039292730844793,0.015395186308316853,0.01402428928523735,0.0,6000.0,5552683543147726.0,True
